Wellhead Temp. (C),Wellhead Press (psi),MMCFD- gas,BOPD (barrel of oil produced per day),BWPD (barrel of water produced per day),BSW - basic solid and water (%),CO2 mol. (%) @ 25 C & 1 Atm.,Gas Grav.,CR-corrosion defect 
64.13,2058.81,2.53,1307.94,5815.68,21.06,4.1099,0.7434,0.4052
68.21,1883.68,2.73,610.06,6343.57,9.71,0.933,0.7421,0.4044
45.27,948.74,3.9,480.06,6251.32,23.71,4.1899,0.7915,0.3997
66.97,2036.34,15.26,700.38,7795.69,61.04,1.6463,0.9139,0.3991
67.21,1340.54,10.36,1209.46,123.96,20.47,2.1917,0.8877,0.398
46.44,939.73,0.96,1586.07,2441.85,70.71,3.1392,0.7428,0.3961
64.93,1397.75,5.04,1639.18,3132.28,23.56,2.0979,0.8144,0.396
55.51,1635.42,0.42,724.31,2371.9,66.82,3.6023,0.8231,0.3944
66.63,1945.21,7.92,1117.32,8980.52,46.65,1.6905,0.7849,0.3941
66.9,1537.04,11.81,1432.65,7300.19,16.33,2.0667,0.792,0.3899
68.26,568.19,4.67,1381.38,585.66,23.17,2.0838,0.8788,0.3882
73.06,977.02,10.17,1094.82,5639.4,58.5,2.0721,0.8352,0.3867
56.27,1613.28,4.99,392.29,8568.67,71.69,3.8541,0.721,0.386
73.39,858.7,1.06,527.73,5638.43,48.97,3.8779,0.8402,0.3851
65.89,983.83,3.56,2038.28,3352.64,83.37,2.8712,0.8214,0.385
65.92,1579.85,5.92,503.63,422.89,28.3,3.3535,0.9197,0.3834
61.11,2042.39,4.99,442.51,4551.56,88.32,2.431,0.8729,0.3803
46.76,820.87,13.42,1153.26,4243.64,88.69,2.7607,0.7224,0.3795
67.65,987.99,13.89,1106.11,2134.02,47.03,2.2749,0.9199,0.3775
72.16,1888.91,13.19,1025.23,3410.71,39.87,2.4332,0.8615,0.3764
52.86,1869.11,4.32,1452.12,40.61,62.4,2.5569,0.7465,0.3754
43.95,1879.46,10.52,517.26,567.07,16.05,2.003,0.7576,0.3743
60.03,1423.5,3.26,970.0,4949.4,16.88,4.1099,0.8723,0.3728
67.74,1824.78,12.2,1994.49,774.15,30.13,2.9341,0.8225,0.3726
51.82,2047.49,1.82,1397.45,479.31,67.74,2.2359,0.7408,0.3721
59.95,1319.66,2.14,632.76,7216.07,49.24,2.9447,0.8935,0.3719
50.28,1848.25,7.53,1696.62,2042.42,59.32,3.4361,0.7471,0.3678
41.63,1277.14,10.37,275.56,6904.14,19.59,4.1772,0.8277,0.3672
66.52,1444.83,1.35,1356.54,8812.39,62.2,3.2985,0.7247,0.3672
68.1,1000.12,10.65,928.1,6300.24,48.47,2.9994,0.8981,0.3664
68.71,508.17,10.62,1482.24,5147.53,87.63,3.1177,0.9197,0.3641
50.68,1092.04,9.65,724.14,4238.78,34.4,4.2309,0.7856,0.3617
55.19,1862.74,3.29,1012.75,2614.22,10.55,3.7666,0.7421,0.3604
67.95,941.06,8.64,1302.73,7533.88,31.62,1.6544,0.7874,0.3603
64.53,1392.21,4.68,635.27,8879.25,40.04,3.2478,0.8116,0.36
52.78,1676.32,1.58,647.15,4290.88,42.98,3.9323,0.8216,0.3597
52.97,1598.2,13.73,1624.13,964.31,85.11,4.0609,0.7791,0.3593
65.32,784.93,14.69,1009.34,7764.92,34.52,1.306,0.8758,0.3593
67.57,1604.28,9.24,1795.34,3022.33,16.49,2.847,0.8053,0.3583
67.9,932.0,2.71,639.49,1749.23,56.31,3.4639,0.9041,0.358
45.53,1064.15,9.51,2058.66,567.57,72.5,4.0847,0.8242,0.3548
41.29,1377.9,15.39,902.62,782.01,40.05,1.3085,0.7331,0.3544
64.62,1974.29,14.47,2084.36,1776.2,61.06,1.8219,0.9004,0.3526
63.18,1882.19,6.87,1568.01,1387.85,78.0,4.2618,0.8995,0.3523
41.07,1956.4,6.83,200.97,4043.4,5.53,3.6614,0.8262,0.3523
54.03,1753.27,0.61,510.65,7086.33,66.45,3.5445,0.8556,0.351
69.33,2002.62,6.83,833.82,8885.31,77.69,3.3163,0.9183,0.3487
64.42,1993.15,5.14,292.3,3817.28,67.7,2.7553,0.8515,0.3464
50.94,2240.19,6.72,647.65,5117.86,63.31,2.5736,0.7396,0.3453
64.35,2030.46,9.54,143.57,1236.37,54.31,3.11,0.9155,0.3452
61.92,2092.3,6.17,2086.64,9314.26,74.92,0.9643,0.8611,0.3444
58.77,1181.98,1.89,1519.22,1835.72,66.35,4.2519,0.8735,0.3425
49.22,1237.29,16.4,251.03,4236.51,27.03,4.1987,0.8516,0.3396
68.07,672.21,9.57,424.09,7870.02,36.33,3.4868,0.8766,0.3385
67.4,1771.97,16.16,1233.2,2526.88,7.04,1.5625,0.8376,0.3377
50.64,1520.8,11.5,264.16,460.78,17.57,4.2585,0.8725,0.3369
67.57,1581.25,1.7,1890.7,2216.91,16.61,2.4956,0.7526,0.3367
63.13,499.27,3.96,1677.15,6693.85,81.42,1.4484,0.836,0.3364
66.48,1818.58,9.99,682.84,7574.8,36.32,1.8927,0.8148,0.335
50.92,2277.1,16.29,262.33,588.15,8.02,2.4742,0.7823,0.3333
50.45,1953.95,9.2,1394.0,2079.61,12.87,4.0989,0.8142,0.3326
59.6,2170.54,4.87,1542.79,8850.68,21.41,2.4242,0.7939,0.3314
58.19,1610.73,1.0,781.36,3089.37,72.44,3.4925,0.8203,0.3313
65.1,801.78,6.71,1172.73,2993.59,54.95,2.3349,0.9004,0.3312
43.22,670.72,4.12,413.98,3259.89,21.62,2.6736,0.731,0.3309
59.37,1841.74,9.26,1663.3,9042.61,9.34,1.5966,0.9034,0.3291
56.63,2178.24,6.29,1152.8,8609.06,6.83,3.5037,0.8717,0.3287
65.68,1462.8,2.78,539.19,1133.33,85.55,1.5126,0.8781,0.3281
42.22,1913.76,16.12,1213.19,1114.85,3.21,1.7775,0.7263,0.3267
44.7,639.77,2.18,1464.37,1358.57,56.97,3.4715,0.7663,0.326
63.4,688.72,3.73,1225.05,6326.49,21.28,2.6818,0.854,0.3226
67.54,699.02,6.44,170.41,4884.65,64.2,1.6333,0.8917,0.32
66.88,1774.83,0.62,1334.92,1441.04,50.74,3.0227,0.7922,0.3178
73.75,1085.45,9.97,533.28,8979.01,42.41,3.3891,0.8375,0.3159
60.49,2231.32,11.13,649.43,883.99,84.07,3.9449,0.8882,0.3157
63.8,2299.26,4.28,1661.59,1916.5,81.31,1.8799,0.7693,0.3153
65.66,1490.75,12.69,1003.77,7564.86,34.31,2.754,0.9164,0.3131
62.94,1379.82,11.16,698.72,6817.39,23.43,2.1398,0.9002,0.312
45.12,1953.51,16.98,580.69,2197.55,66.33,3.0405,0.8419,0.3102
71.18,927.34,3.33,1386.49,6820.49,21.79,1.9065,0.7336,0.3081
55.23,2164.85,0.54,1375.82,6891.05,37.45,2.3807,0.7325,0.3068
45.08,562.06,3.3,643.99,3392.51,80.41,2.7281,0.7621,0.3063
50.99,2109.37,13.77,367.53,342.91,31.45,1.6719,0.7272,0.3054
69.37,816.24,13.02,1607.37,8337.96,26.74,3.1904,0.843,0.3053
50.92,1810.29,6.07,877.64,5503.97,1.24,3.4552,0.7515,0.3033
72.74,545.58,13.56,1568.83,916.96,76.77,1.0722,0.8502,0.3019
70.66,1030.58,3.38,1746.19,3838.25,25.39,3.1029,0.7782,0.3008
52.14,2040.67,13.07,1406.06,3173.87,3.21,2.9672,0.7311,0.2994
49.46,2011.79,5.69,1053.85,799.61,48.36,4.2311,0.8877,0.2986
62.2,468.31,0.28,1984.12,9267.91,17.72,2.8096,0.7435,0.2966
61.69,822.91,9.55,553.94,8578.58,12.58,4.2399,0.9035,0.2955
62.9,1874.52,16.51,2082.66,675.4,10.5,3.021,0.8429,0.2937
64.2,1883.15,6.56,516.85,3275.38,77.36,2.1252,0.8687,0.293
51.57,788.81,9.64,536.32,4550.08,63.51,3.9108,0.7769,0.2918
66.39,2249.31,0.91,130.92,2501.24,49.66,3.227,0.8311,0.2911
59.54,1310.14,0.84,1782.04,4321.82,13.29,3.5047,0.8175,0.2909
50.91,1947.62,2.6,595.57,4577.01,57.86,2.9841,0.7867,0.2883
42.89,1168.89,13.59,787.55,3932.57,19.76,2.2591,0.7281,0.2863
65.92,762.98,6.99,810.38,1177.58,29.27,0.8938,0.9227,0.2845
69.27,1516.68,8.79,807.8,1583.91,70.52,0.8584,0.8417,0.284
53.55,2300.61,16.9,1130.32,2997.89,34.22,4.1319,0.7111,0.2839
68.52,1157.1,0.69,388.77,2360.98,27.0,2.8411,0.8721,0.2829
60.66,2200.0,12.06,240.5,3656.68,3.96,2.8043,0.9101,0.2825
58.05,1585.81,3.85,1807.13,1663.84,55.54,4.041,0.9017,0.2788
68.57,902.06,2.26,984.58,7329.98,56.02,2.3996,0.7747,0.2783
59.42,2115.28,15.19,1069.42,6438.83,5.33,2.6318,0.9007,0.2778
52.55,2097.23,3.87,500.73,7018.71,71.64,2.3926,0.7428,0.2763
71.53,929.44,16.99,2061.14,5568.5,27.43,1.782,0.8003,0.2754
48.17,1836.49,15.16,300.05,3099.48,55.39,3.5601,0.8649,0.2749
49.98,598.49,2.88,572.68,3400.31,77.64,2.7159,0.7258,0.2746
64.42,1430.39,5.28,507.55,7125.08,0.75,3.5693,0.8106,0.2714
65.52,407.02,5.77,1951.34,1505.43,63.47,3.5419,0.8766,0.2704
43.9,1140.67,7.66,1447.28,4732.79,1.01,3.7802,0.7475,0.2697
65.59,2196.76,14.83,924.67,658.18,67.77,3.0498,0.8979,0.2688
66.66,539.36,8.88,1436.27,6842.1,81.3,1.7695,0.8436,0.266
58.28,2317.23,3.95,1785.6,2574.55,64.16,3.3954,0.921,0.2655
66.72,1468.95,0.28,327.7,1160.36,67.22,3.3854,0.8859,0.2655
